Carimbo de data/hora,Em qual instituição você está fazendo pós graduação?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição),De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas de Estatística você cursou na pós-graduação (mestrado + doutorado)? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utiliza para a Universidade?,"Em média, quanto tempo você demora para chegar à Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
20/03/2023 09:24:51,UFPR,CT - Ciências da Terra,Mestrado Profissional,Ciências Exatas,2019,Universidade Estadual do Centro Oeste - PR ,"Iniciação científica, PET, Monitoria",,,UFPR,2,Não,2,0,Sim,"R, Minitab",Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,186,122,21/02/1996,Trabalho com carteira assinada/Vínculo Formal,Com amigos,1,Outro Estado,Carro/moto próprio,20,10,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Não,0,Nenhuma,28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
20/03/2023 09:25:22,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Exatas,2022,UFPR,"Iniciação científica, Monitoria, Empresa Júnior",,,,4,CAPES,2,0,Sim,"R, Excel ou similares",Não sei ainda,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,172,150,27/03/1998,Bolsista em tempo integral,Com os pais,1,Interior do Paraná,Carro/moto próprio,120,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Não,0,Nenhuma,28,"A da esquerda se chama Bouba, a da direita se chama Kiki.",39
20/03/2023 09:26:45,UFPR,AG - Agrárias,Doutorado,Ciências Biológicas,2018,UDESC,"Monitoria, Projeto de extensão, Empresa Júnior",2019,2021,UFPR,14,CAPES,1,0,Sim,"R, Excel ou similares",Certamente sim,9,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,60,23/04/1997,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Outro Estado,A pé,25,3,Cachorro,Violão,"Facebook, Instagram",Sim,2,"Caminhada, Natação",26,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
20/03/2023 09:27:42,UNIOESTE,,Doutorado e professor,Ciências Biológicas,1997,UFSM,Monitoria,2008,2009,UFSM,5,Não,1,1,Não,Nunca usei,Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,50,07/12/1974,concurso público,Sozinho,2,Outro Estado,Táxi/Aplicativo,20,5,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",Sim,5,"Caminhada, Musculação",22,"A da esquerda se chama Kiki, a da direita se chama Bouba.",19
20/03/2023 09:29:31,UNILA,SA - Sociais Aplicadas,Mestrado Acadêmico,Ciências Humanas,2016,UAA (Paraguai),Não participei,2021,2023,UNILA,0,Não,1,1,Sim,"R, Excel ou similares",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Masculino,175,75,21/10/1988,Trabalho com carteira assinada/Vínculo Formal,Sozinho,2,Outro País,Carro/moto próprio,15,0,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,5,"Corrida, Pilates",30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
20/03/2023 09:29:50,UFPR,SD - Saúde,Mestrado Acadêmico,Ciências Biológicas,2022,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",,,,0,CAPES,2,0,Sim,"R, Excel ou similares",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,169,79,25/03/2000,Bolsista em tempo integral,Sozinho,1,Interior do Paraná,Táxi/Aplicativo,15,20,Não possuo,Violão,"Google+, Instagram, Linkedin, Outras",Sim,5,"Caminhada, Corrida, Pilates",26,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
20/03/2023 09:31:40,UNIOESTE,,Pós-Doutorado,Ciências Biológicas,2012,FAFI,Não participei,2015,2017,UEM,1,CAPES,1,1,Sim,"R, Statistica, Excel ou similares",Certamente sim,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Feminino,170,70,12/03/1991,Bolsista em tempo integral,Sozinho,1,Interior do Paraná,A pé,15,4,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Sim,4,Caminhada,30,"A da esquerda se chama Kiki, a da direita se chama Bouba.",10
20/03/2023 09:31:43,UFPR,BL - Ciências Biológicas,Mestrado Acadêmico,Ciências Biológicas,2019,UFPR,"Iniciação científica, Empresa Júnior",,,,0,CAPES,1,0,Não,Nunca usei,Não sei ainda,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,180,70,29/07/1994,Bolsista em tempo integral,Com os pais,0,Curitiba,Transporte público,50,8,Não possuo,Teclado,"Twitter, Instagram, Linkedin, Outras",Não,0,Nenhuma,32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
20/03/2023 09:32:00,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2022,UEPG,"Iniciação científica, Monitoria, Projeto de extensão",,,,3,Não,1,0,Sim,Excel ou similares,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,163,58,18/07/2000,Trabalho com carteira assinada/Vínculo Formal,Com os pais,5,Interior do Paraná,Carro/moto próprio,20,2,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,3,Musculação,32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
20/03/2023 09:32:53,UFPR,ET - Exatas,Mestrado Profissional,Ciências Exatas,2022,IFSUL,Iniciação científica,,,,1,Não,1,0,Sim,"Minitab, Excel ou similares, Matlab",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,194,100,25/06/1995,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Outro Estado,Carro/moto próprio,5,2,Não possuo,Não toco nenhum instrumento,"Instagram, Linkedin",Sim,3,"Corrida, Musculação",28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
