Carimbo de data/hora,Em qual instituição você está fazendo pós graduação?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição),De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas de Estatística você cursou na pós-graduação (mestrado + doutorado)? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utiliza para a Universidade?,"Em média, quanto tempo você demora para chegar à Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
18/03/2024 12:46:09,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2023,UniCuritiba,"Iniciação científica, Monitoria, Projeto de extensão",2024,,UFPR,1,Não,2,0,Não,Nunca usei,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,176,72,19/08/1984,Trabalho ocasional,Sozinho,5,Curitiba,Carro/moto próprio,10,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",Sim,3,"Caminhada, Corrida, Vôlei",32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
18/03/2024 12:46:26,UFPR,SA - Sociais Aplicadas,Mestrado Acadêmico,Ciências Exatas,2004,PUCPR,Projeto de extensão,,,UFPR,0,Não,1,2,Sim,"R, Excel ou similares",Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Sim,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,168,75,19/09/1976,Trabalho com carteira assinada/Vínculo Formal,Com outros familiares,3,Interior do Paraná,Carro/moto próprio,18,1,"Cachorro, Gato",Não toco nenhum instrumento,Linkedin,Não,0,Caminhada,28,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
18/03/2024 12:46:45,UEPG,,Mestrado Acadêmico,Ciências Biológicas,2018,UEPG,Projeto de extensão,,2025,,1,Não,1,0,Sim,Excel ou similares,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,161,58,05/11/1994,Trabalho por contrato,Com amigos,1,Interior do Paraná,Carro/moto próprio,15,0,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,4,"Caminhada, Corrida, Cross training ",27,"A da esquerda se chama Kiki, a da direita se chama Bouba.",43
18/03/2024 12:46:51,UEPG,AG - Agrárias,Mestrado Acadêmico,Ciências Exatas,2023,UENP,Iniciação científica,,,,0,CAPES,1,0,Sim,"R, Excel ou similares",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelo(a)  orientador(a),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,58,11/11/2000,Bolsista em tempo integral,Com amigos,0,Interior do Paraná,Carro/moto próprio,5,2,Não possuo,Não toco nenhum instrumento,"Instagram, Linkedin",Sim,4,"Corrida, Musculação",32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
18/03/2024 12:47:53,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2023,UFPR,"Iniciação científica, Monitoria, Projeto de extensão",,,,0,Não,1,0,Sim,"Excel ou similares, Matlab",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,172,76,30/04/2000,Trabalho com carteira assinada/Vínculo Formal,Com amigos,1,Interior do Paraná,A pé,2,0,Gato,Não toco nenhum instrumento,Instagram,Sim,5,Musculação,32,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
18/03/2024 12:48:15,UFPR,SP - Palotina,Mestrado Profissional,Ciências Biológicas,2023,Ufpr,"Iniciação científica, Monitoria",,,,0,Não,2,0,Sim,Excel ou similares,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Por colegas,Não,Sim,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,185,100,29/01/2000,Trabalho por contrato,Sozinho,1,Interior do Paraná,Carro/moto próprio,60,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Sim,4,"Caminhada, Musculação, Futebol",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",26
18/03/2024 12:48:24,UFPR,SA - Sociais Aplicadas,Doutorado,Ciências Humanas,2018,UFPR,Não participei,2022,2024,UFPR,4,CAPES,0,0,Não,Nunca usei,Certamente sim,8,Conseguir um emprego.,Site da UFPR ou instituição de origem,Sim,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Feminino,172,63,06/06/1995,Bolsista em tempo integral,Com os pais,1,Curitiba,Carro/moto próprio,40,0,Outro,Piano,"Facebook, Instagram",Sim,2,"Caminhada, Musculação",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
18/03/2024 12:48:30,UEM ,,Doutorado,Ciências Humanas,2011,UENP,Iniciação científica,2020,2022,UEM,3,Não,0,1,Não,Excel ou similares,Não sei ainda,5,Aumento salarial e oportunidades mais promissoras.,Instituição UEM,Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,169,62,15/06/1990,Trabalho por contrato,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Interior do Paraná,Carro/moto próprio,150,0,"Cachorro, Pássaro, Peixe",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",Sim,4,"Musculação, Pilates",35,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
18/03/2024 12:49:52,UFPR,JD - Jurídicas,Doutorado,Ciências Humanas,2012,UNIOESTE,Não participei,2019,2021,UNILA,5,Não,0,0,Sim,"R, SPSS, Excel ou similares",Certamente sim,5,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,188,128,11/11/1984,Servidor Federal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,3,Interior do Paraná,Táxi/Aplicativo,20,10,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Não,0,Nenhuma,35,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
18/03/2024 12:50:07,UEM,,Mestrado Acadêmico,Ciências Humanas,2013,Unespar ,Não participei,,,,0,Não,0,0,Sim,Excel ou similares,Não sei ainda,7,Aumento salarial e oportunidades mais promissoras.,Por colegas,Não,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,180,94,27/10/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Interior do Paraná,Carro/moto próprio,80,0,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,4,"Caminhada, Musculação",32,"A da esquerda se chama Bouba, a da direita se chama Kiki.",42
